Time, Temp (C), Humidity (%)
2022-01-28 23:03:45.234367, 18.1, 64.0
2022-01-28 23:03:55.403222, 18.1, 64.0
2022-01-28 23:04:10.654116, 18.1, 64.0
2022-01-28 23:04:15.736322, 18.2, 64.0
2022-01-28 23:04:20.822214, 18.2, 64.0
2022-01-28 23:04:25.907980, 18.2, 64.0
2022-01-28 23:04:30.993407, 18.2, 64.0
2022-01-28 23:04:36.079180, 18.2, 64.0
2022-01-28 23:04:41.162423, 18.2, 64.0
2022-01-28 23:04:46.242574, 18.2, 64.0
2022-01-28 23:04:51.328616, 18.2, 64.0
2022-01-28 23:04:56.414546, 18.2, 64.0
2022-01-28 23:05:01.500557, 18.2, 64.0
2022-01-28 23:05:06.586619, 18.2, 64.0
2022-01-28 23:05:11.672560, 18.2, 64.0
2022-01-28 23:05:16.758769, 18.2, 64.0
2022-01-28 23:05:21.842511, 18.1, 64.0
2022-01-28 23:05:26.928576, 18.2, 64.0
2022-01-28 23:05:32.014473, 18.2, 64.0
2022-01-28 23:05:37.108459, 18.2, 64.0
2022-01-28 23:05:42.193947, 18.2, 64.0
2022-01-28 23:05:47.277742, 18.2, 64.0
2022-01-28 23:05:52.361256, 18.2, 64.0
2022-01-28 23:05:57.447330, 18.1, 64.0
2022-01-28 23:06:02.533351, 18.2, 64.0
2022-01-28 23:06:07.619271, 18.2, 64.0
2022-01-28 23:06:12.702675, 18.2, 64.0
2022-01-28 23:06:17.788658, 18.2, 64.0
2022-01-28 23:06:22.874528, 18.2, 64.0
2022-01-28 23:06:33.042662, 18.2, 64.0
2022-01-28 23:06:38.128671, 18.1, 64.0
2022-01-28 23:06:43.214768, 18.2, 64.0
2022-01-28 23:06:53.383691, 18.2, 64.0
2022-01-28 23:07:03.551973, 18.1, 64.0
2022-01-28 23:07:08.637382, 18.1, 64.0
2022-01-28 23:07:13.723299, 18.2, 64.0
2022-01-28 23:07:23.891269, 18.2, 64.0
2022-01-28 23:07:28.972811, 18.1, 64.0
2022-01-28 23:07:34.059612, 18.1, 64.0
2022-01-28 23:07:39.142781, 18.1, 64.0
2022-01-28 23:07:44.228855, 18.1, 64.0
2022-01-28 23:07:49.314846, 18.1, 64.0
2022-01-28 23:07:54.400836, 18.1, 64.0
2022-01-28 23:07:59.486982, 18.1, 64.0
2022-01-28 23:08:04.571302, 18.1, 64.0
2022-01-28 23:08:09.657549, 18.1, 64.0
2022-01-28 23:08:14.743549, 18.1, 64.0
2022-01-28 23:08:19.827196, 18.1, 64.0
2022-01-28 23:08:24.913174, 18.1, 64.0
2022-01-28 23:08:35.081515, 18.1, 64.0
2022-01-28 23:08:40.167587, 18.1, 64.0
2022-01-28 23:08:45.253552, 18.1, 64.0
2022-01-28 23:08:50.339517, 18.1, 64.0
2022-01-28 23:08:55.422742, 18.1, 64.0
2022-01-28 23:09:00.512573, 18.1, 64.0
2022-01-28 23:09:05.598799, 18.1, 64.0
